year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2017,1,manchester city,100,79,106,27,32,4,2,"27,00",£38.93m,£9.73m,"23,91",£171.68m,£15.61m,"26,25",£143.10m,£17.89m,"21,00",£201.02m,£22.34m,/manchester-city/startseite/verein/281/saison_id/2017
2017,2,manchester united,81,40,68,28,25,6,7,"25,25",£42.39m,£10.60m,"24,54",£159.75m,£12.29m,"25,40",£196.65m,£19.67m,"25,38",£181.80m,£22.73m,/manchester-united/startseite/verein/985/saison_id/2017
2017,3,tottenham hotspur,77,38,74,36,23,8,7,"26,50",£26.10m,£6.53m,"23,73",£132.98m,£12.09m,"22,90",£161.64m,£16.16m,"23,44",£161.10m,£17.90m,/tottenham-hotspur/startseite/verein/148/saison_id/2017
2017,4,liverpool,75,46,84,38,21,12,5,"26,50",£21.15m,£5.29m,"23,50",£110.70m,£9.23m,"24,50",£121.50m,£15.19m,"22,91",£192.15m,£17.47m,/fc-liverpool/startseite/verein/31/saison_id/2017
2017,5,chelsea,70,24,62,38,21,7,10,"28,20",£39.74m,£7.95m,"22,63",£168.75m,£8.88m,"23,18",£148.50m,£13.50m,"24,00",£227.70m,£20.70m,/fc-chelsea/startseite/verein/631/saison_id/2017
2017,6,arsenal,63,23,74,51,19,6,13,"26,75",£13.05m,£3.26m,"24,36",£132.84m,£9.49m,"22,47",£210.42m,£12.38m,"24,30",£214.20m,£21.42m,/fc-arsenal/startseite/verein/11/saison_id/2017
2017,7,burnley,54,-3,36,39,14,12,12,"29,75",£5.40m,£1.35m,"27,29",£17.10m,£2.44m,"26,44",£32.27m,£3.59m,"25,60",£32.40m,£3.24m,/fc-burnley/startseite/verein/1132/saison_id/2017
2017,8,everton,49,-14,44,58,13,10,15,"26,00",£19.80m,£4.95m,"24,56",£87.08m,£5.44m,"22,57",£104.85m,£7.49m,"23,93",£100.35m,£7.17m,/fc-everton/startseite/verein/29/saison_id/2017
2017,9,leicester city,47,-4,56,60,12,11,15,"30,33",£10.35m,£3.45m,"26,50",£38.25m,£3.83m,"24,20",£66.47m,£6.65m,"24,55",£111.83m,£10.17m,/leicester-city/startseite/verein/1003/saison_id/2017
2017,10,newcastle united,44,-8,39,47,12,8,18,"26,25",£5.94m,£1.49m,"24,36",£41.33m,£2.95m,"24,33",£44.55m,£4.95m,"23,60",£58.73m,£5.87m,/newcastle-united/startseite/verein/762/saison_id/2017
2017,11,crystal palace,44,-10,45,55,11,11,16,"30,25",£5.90m,£1.47m,"25,38",£53.80m,£4.14m,"24,58",£51.12m,£4.26m,"22,42",£64.17m,£5.35m,/crystal-palace/startseite/verein/873/saison_id/2017
